Features.cspace,Features.orient,Features.pix_per_cell,Features.cell_per_block,Features.hog_channel,Features.extract_time,Features.spatial_feat,Features.hist_feat,Features.spatial_size,Features.hist_bins,classifier.best_params_,training_time,training_score
RGB,12,8,2,0,2.3256819248199463,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",79.24053406715393,0.51
RGB,12,8,2,0,2.0291619300842285,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",94.80460214614868,0.935
RGB,12,8,2,0,2.1079599857330322,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",120.75047588348389,0.915
RGB,12,8,2,0,1.9559969902038574,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",120.26726388931274,0.905
RGB,12,8,2,1,1.9238169193267822,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 1, 'kernel': 'linear'}",69.49209094047546,0.95
RGB,12,8,2,1,2.1862270832061768,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",72.18676495552063,0.48
RGB,12,8,2,1,2.250382900238037,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",119.3885440826416,0.925
RGB,12,8,2,1,1.9581069946289062,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",120.24320220947266,0.93
RGB,12,8,2,2,1.948173999786377,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 10, 'kernel': 'linear'}",69.32227182388306,0.92
RGB,12,8,2,2,2.161789894104004,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",71.00824499130249,0.935
RGB,12,8,2,2,2.1589620113372803,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",118.07062697410583,0.905
RGB,12,8,2,2,1.9294021129608154,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",119.96553301811218,0.945
RGB,12,8,2,ALL,4.0306031703948975,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 1, 'kernel': 'linear'}",163.25632309913635,0.96
RGB,12,8,2,ALL,3.9950480461120605,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",166.77872490882874,0.94
RGB,12,8,2,ALL,4.002097845077515,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",213.20723915100098,0.92
RGB,12,8,2,ALL,4.031641006469727,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",214.36353492736816,0.905
RGB,12,16,2,0,1.5367939472198486,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",28.63546109199524,0.53
RGB,12,16,2,0,1.642488956451416,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",30.249738931655884,0.485
RGB,12,16,2,0,1.5470221042633057,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",77.60670495033264,0.88
RGB,12,16,2,0,1.5407829284667969,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",80.30009198188782,0.91
RGB,12,16,2,1,1.5287981033325195,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",28.986673831939697,0.49
RGB,12,16,2,1,1.5184619426727295,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",30.899577140808105,0.475
RGB,12,16,2,1,1.621262788772583,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",77.56014394760132,0.885
RGB,12,16,2,1,1.5297069549560547,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",78.40395092964172,0.89
RGB,12,16,2,2,1.5326600074768066,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",29.64173412322998,0.48
RGB,12,16,2,2,1.7840180397033691,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 10, 'kernel': 'rbf'}",29.847629070281982,0.48
RGB,12,16,2,2,1.764328956604004,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",78.10797095298767,0.925
RGB,12,16,2,2,1.7884938716888428,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",78.59345507621765,0.875
